month,openings,lower_80,upper_80
2026-09-01,12970.503341346908,11761.346368359476,14179.66031433434
2026-10-01,13377.16039458134,12168.003421593909,14586.317367568772
2026-11-01,13672.638847662112,12463.48187467468,14881.795820649544
2026-12-01,13949.015265616246,12739.858292628815,15158.172238603678
2027-01-01,14378.941344308449,13169.784371321017,15588.09831729588
2027-02-01,14377.828557268522,13168.67158428109,15586.985530255954
2027-03-01,14139.690087888233,12930.533114900802,15348.847060875665
2027-04-01,13898.250795872018,12689.093822884586,15107.40776885945
2027-05-01,14148.11694572287,12938.959972735438,15357.273918710302
2027-06-01,14283.037042360049,13073.880069372617,15492.19401534748
2027-07-01,14079.630451737059,12870.473478749627,15288.78742472449
2027-08-01,14043.638279188819,12834.481306201387,15252.79525217625
