month,openings
2015-01-01,8351
2015-02-01,8851
2015-03-01,8932
2015-04-01,8762
2015-05-01,8644
2015-06-01,8128
2015-07-01,7995
2015-08-01,8015
2015-09-01,7419
2015-10-01,7505
2015-11-01,8135
2015-12-01,8587
2016-01-01,9038
2016-02-01,9191
2016-03-01,9656
2016-04-01,9835
2016-05-01,9073
2016-06-01,8927
2016-07-01,8145
2016-08-01,7992
2016-09-01,7728
2016-10-01,8265
2016-11-01,8338
2016-12-01,9225
2017-01-01,9711
2017-02-01,10044
2017-03-01,9669
2017-04-01,10174
2017-05-01,10070
2017-06-01,9735
2017-07-01,8902
2017-08-01,8863
2017-09-01,8612
2017-10-01,8776
2017-11-01,9603
2017-12-01,9604
2018-01-01,10322
2018-02-01,10983
2018-03-01,10831
2018-04-01,10945
2018-05-01,10771
2018-06-01,10383
2018-07-01,9641
2018-08-01,9667
2018-09-01,9880
2018-10-01,9244
2018-11-01,10211
2018-12-01,10505
2019-01-01,10824
2019-02-01,11933
2019-03-01,11841
2019-04-01,11322
2019-05-01,11422
2019-06-01,11176
2019-07-01,10570
2019-08-01,10485
2019-09-01,10170
2019-10-01,10480
2019-11-01,11021
2019-12-01,10958
2020-01-01,11703
2020-02-01,11953
2020-03-01,7661
2020-04-01,7314
2020-05-01,7328
2020-06-01,7194
2020-07-01,7227
2020-08-01,7097
2020-09-01,8876
2020-10-01,9115
2020-11-01,9779
2020-12-01,9507
2021-01-01,15637
2021-02-01,16273
2021-03-01,16920
2021-04-01,16760
2021-05-01,16200
2021-06-01,15707
2021-07-01,15218
2021-08-01,15279
2021-09-01,14618
2021-10-01,14802
2021-11-01,15410
2021-12-01,15910
2022-01-01,16551
2022-02-01,16853
2022-03-01,17435
2022-04-01,17311
2022-05-01,17433
2022-06-01,16817
2022-07-01,16121
2022-08-01,15901
2022-09-01,15485
2022-10-01,16000
2022-11-01,16162
2022-12-01,16938
2023-01-01,10569
2023-02-01,11333
2023-03-01,10988
2023-04-01,10890
2023-05-01,11155
2023-06-01,10699
2023-07-01,10650
2023-08-01,10941
2023-09-01,10045
2023-10-01,10195
2023-11-01,10683
2023-12-01,11147
2024-01-01,12816
2024-02-01,13188
2024-03-01,13631
2024-04-01,13576
2024-05-01,12964
2024-06-01,12873
2024-07-01,12537
2024-08-01,11972
2024-09-01,12206
2024-10-01,12022
2024-11-01,12805
2024-12-01,13041
2025-01-01,13778
2025-02-01,13989
2025-03-01,14324
2025-04-01,13827
2025-05-01,13839
2025-06-01,13881
2025-07-01,12860
2025-08-01,13346
2025-09-01,12561
2025-10-01,13322
2025-11-01,13219
2025-12-01,14089
2026-01-01,14708
2026-02-01,14671
2026-03-01,15612
2026-04-01,15654
2026-05-01,15044
2026-06-01,14636
2026-07-01,14284
2026-08-01,13778
